CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Kuwait,KWT,Asia,2.04,2.32,2.62,2.9,2.2,2.16,2.2,2.16,2.17,3.54,3.71,"4,207,083",1.35E+11,32031.98,148
Kyrgyzstan,KGZ,Asia,8.53,8.43,8.33,8.05,7.56,7.21,6.89,6.89,6.92,8.71,9.1,"6,456,900",8454619608,1309.39,59
Laos,LAO,Asia,0.73,0.74,0.75,0.76,0.78,0.79,0.81,0.83,0.85,1.03,1.26,"7,169,455",18173839128,2534.9,178
Latvia,LVA,Europe,16.21,15.05,11.87,10.85,9.87,9.64,8.72,7.41,6.31,8.1,7.6,"1,912,789",34117202555,17836.36,75
Lebanon,LBN,Asia,7.39,7.85,8.31,8.81,9.32,9.78,10.27,10.8,11.35,13.3,14.49,"6,855,713",53367042272,7784.32,27
Lesotho,LSO,Africa,26.24,25.37,24.58,24.22,23.84,23.48,23.2,22.81,22.44,24.56,24.6,"2,125,268",2460072444,1157.54,5
Liberia,LBR,Africa,2.22,2.17,2.12,2.08,2.08,3.08,3.05,3.03,3.02,3.98,4.09,"4,937,374",3070518100,621.89,140
Libya,LBY,Africa,19.39,19.03,19.45,19.46,19.53,19.53,19.37,19.45,19.66,20.07,19.58,"6,777,452",52076250948,7683.75,12
Lithuania,LTU,Europe,15.39,13.36,11.77,10.7,9.12,7.86,7.07,6.15,6.26,8.49,7.9,"2,786,844",54219315600,19455.45,71
Luxembourg,LUX,Europe,4.9,5.14,5.85,5.85,6.67,6.29,5.52,5.59,5.59,6.77,5.23,"645,397",71104919108,110172.37,112
Macau,MAC,Asia,2.56,1.97,1.82,1.7,1.81,1.94,1.99,1.83,1.75,2.57,3.01,"682,300",53859116536,78937.59,159
Madagascar,MDG,Africa,2.44,0.6,1,1.39,1.79,1.8,1.82,1.84,1.86,2.47,2.59,"26,969,307",14083906357,522.22,166
Malawi,MWI,Africa,5.92,5.95,5.95,5.9,5.86,5.82,5.76,5.76,5.75,6.7,7.02,"18,628,747",7666704427,411.55,83
Malaysia,MYS,Asia,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.5,4.61,"32,447,385",3.65E+11,11239.78,131
Maldives,MDV,Asia,10.47,9.47,8.73,7.87,6.93,6.12,5.87,5.62,5.34,6.33,6.08,"530,953",5729248472,10790.5,98
Mali,MLI,Africa,6.9,6.65,6.35,6.38,7.73,7.57,7.41,7.43,7.44,7.7,7.72,"19,658,031",17510141171,890.74,73
Malta,MLT,Europe,6.38,6.2,6.11,5.72,5.38,4.69,4,3.66,3.62,4.26,3.5,"502,653",14786156563,29416.23,154
Mauritania,MRT,Africa,9.86,9.86,9.96,10.05,10.14,10.26,10.34,10.39,10.39,11.27,11.46,"4,525,696",7593752450,1677.92,42
Mauritius,MUS,Africa,7.45,7.47,7.32,7.47,7.41,6.81,6.75,6.43,6.33,7.41,7.41,"1,265,711",14180444557,11203.54,78
